Date,Day of the Week,Amount,Description,Category ,Method of Payment
1/20,Friday,2.5,Energy Drink,Food,Credit
1/21,Saturday,6.61,Boba,Food,Credit
1/21,Saturday,3.99,Chips,Food,Credit
1/21,Saturday,13.93,Quesadilla,Food,Credit
1/22,Sunday,8.76,Grilled Cheese,Food,Credit
1/22,Sunday,2.5,Energy Drink,Food,Credit
1/23,Monday,11.95,Boba,Food,Credit
1/23,Monday,3.98,Pickles,Food,Credit
1/24,Tuesday,8.76,Grilled Cheese,Food,Credit
1/25,Wednesday,2.5,Energy Drink,Food,Credit
1/26,Thursday,50.76,Gas,Travel,Credit
1/26,Thursday,2.5,Energy Drink,Food,Credit
1/26,Thursday,5,Chips,Food,Credit
1/29,Sunday,171.96,Escape Room,Entertainment and Recreation,Credit
1/29,Sunday,42.99,(+) Escape Room ,Entertainment and Recreation,Credit
1/30,Monday,10.73,Boba,Food,Credit
1/31,Tuesday,10,In n Out,Food,Credit
